Name,SurName,Street,StreetNr,ZipCode,City,Legitimate,StartStreet,StartStreetNr,StartZipCode,StartCity,EndStreet,EndStreetNr,EndZipCode,EndCity,CorrectDelivery
Taneka,Streetman,Adelgatan,170,70165,Orebro,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,70222,Orebro,True
Cornelia,Quiles,Pilgatan,66,25133,Helsingborg,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,25222,Helsingborg,True
Lon,Madruga,Ankargatan,115,50157,Boras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,60222,Boras,True
Pearlene,Robison,Hasselgatan,147,75113,Uppsala,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,25222,Uppsala,True
Maryann,Marrone,Allhelgonagatan,147,90125,Umea,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,90222,Umea,True
Klara,Collett,Pilgatan,49,35133,Vaxjo,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,35222,Vaxjo,True
Ardelle,Geisler,Ekorrstigen,159,11146,Stockholm,True,SortingStreet,1,11222,Stockholm,Ekorrstigen,159,22222,Stockholm,True
Linsey,Jacoby,Blomstigen,63,25134,,True,SortingStreet,1,11222,Stockholm,Akutgatan,1,25222,,False
Cordia,Bunge,Eriksberg,153,35175,Vaxjo,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,58222,Vaxjo,True
Jerica,Granillo,Pilgatan,128,39133,Kalmar,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,39222,Kalmar,True
,Graziano,Akutgatan,35,72175,Vasteras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,72222,Vasteras,True
Marguerita,Tilley,Hasselgatan,19,97113,Lulea,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,97222,Lulea,True
Errol,Kingston,Bohusgatan,11,39147,Kalmar,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,90222,Kalmar,True
Alessandra,Piedra,Mesta,191,50146,Boras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,50222,Boras,True
Sari,Hemstreet,Pallasgatan,52,55137,,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,55222,,True
Jefferson,Blakeslee,Lotsgatan,167,30146,Halmstad,True,SortingStreet,1,11222,Stockholm,SortingStreet,197,30222,Halmstad,False
Gaynell,,Adlerberthsgatan,117,72123,Vasteras,True,SortingStreet,1,11222,Stockholm,SortingStreet,51,72222,Vasteras,False
Ester,,Boberg,114,41135,Goteborg,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,41222,Goteborg,True
Jeanie,Lansford,Adjunktsgatan,143,39164,Kalmar,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,39222,Kalmar,True
,Prophet,Fotstigen,29,63168,Eskilstuna,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,97222,Eskilstuna,True
Marinda,Corliss,Floragatan,18,72146,Vasteras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,72222,Vasteras,True
Adrien,Emerson,Almstigen,50,72165,Vasteras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,72222,Vasteras,True
,Favors,Alegatan,123,11125,Stockholm,True,SortingStreet,1,11222,Stockholm,Alegatan,123,11125,Stockholm,True
Anneliese,Laber,Allhelgonagatan,12,97125,Lulea,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,97222,Lulea,True
Anneliese,Laber,Adjunktsgatan,101,85164,Sundsvall,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,85222,Sundsvall,True
Maryland,Kraushaar,Eriksberg,9,58175,Linkoping,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,97222,Linkoping,True
Yael,Ribera,Berget,78,11126,Stockholm,True,SortingStreet,1,11222,Stockholm,Berget,78,11126,Stockholm,True
Juliette,Favors,Kaptensgatan,118,21168,Malmo,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,21222,Malmo,True
,Blackwelder,Harstigen,159,85114,Sundsvall,True,SortingStreet,1,11222,Stockholm,Alsta,1,85222,Sundsvall,False
Willis,Axford,Adjunktsgatan,15,55164,Jonkoping,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,55222,Jonkoping,True
Alia,Criddle,Harstigen,155,50114,Boras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,50222,Boras,True
Alicia,Trombly,Larmtorget,183,41146,Goteborg,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,41222,Goteborg,True
Rosalba,Hassett,Dagsberg,144,50124,,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,50222,,True
,Collett,Kaptensgatan,161,60168,Norrkoping,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,60222,Norrkoping,True
,,Mesta,87,80146,Gavle,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,72222,Gavle,True
Tyrone,Carwile,Betesbacken,189,60176,Norrkoping,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,60222,Norrkoping,True
Zelma,Crandell,Ekorrstigen,67,63146,Eskilstuna,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,63222,Eskilstuna,True
Corrinne,Bucker,Allhelgonagatan,93,85125,Sundsvall,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,85222,Sundsvall,True
Wynona,Hoefle,Agnesgatan,101,58165,,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,58222,,True
Maryland,Kraushaar,Boberg,67,21135,Malmo,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,21222,Malmo,True
Gladis,,Adjunktsgatan,70,30164,,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,30222,,True
Francene,Nutting,Blomstigen,175,70134,Orebro,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,70222,Orebro,True
,Sparr,Bergsbogatan,7,65136,Karlstad,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,65222,Karlstad,True
,Boulden,Odlarstigen,195,65178,Karlstad,True,SortingStreet,1,11222,Stockholm,Floragatan,1,65222,Karlstad,False
Kyoko,Jarboe,Berg,158,85177,Sundsvall,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,85222,Sundsvall,True
Velva,Tarbox,Odlarstigen,198,22178,Lund,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,22222,Lund,True
Cordia,Bunge,Aberga,114,80148,Gavle,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,80222,Gavle,True
,Chavous,Betesbacken,189,90176,Umea,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,90222,Umea,True
Yael,,Butgatan,161,39129,Kalmar,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,39222,Kalmar,True
Pierre,,Agnesgatan,1,97165,Lulea,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,97222,Lulea,True
Alicia,Trombly,Boberg,154,41135,,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,22222,,True
Caroll,Holte,Kaptensgatan,179,39168,Kalmar,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,39222,Kalmar,True
Lon,Madruga,Hasselgatan,104,21113,Malmo,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,21222,Malmo,True
Kyoko,Jarboe,Adelgatan,82,30165,Halmstad,True,SortingStreet,1,11222,Stockholm,Floragatan,1,30222,Halmstad,False
Buddy,Rowser,Berget,40,80126,Gavle,True,SortingStreet,1,11222,Stockholm,SortingStreet,256,80222,Gavle,False
Ester,Robards,Alsta,151,50167,Boras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,50222,Boras,True
Tresa,Kestler,Bergsbogatan,60,30136,Halmstad,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,30222,Halmstad,True
Wilbert,Chavous,Pilgatan,107,60133,Norrkoping,True,SortingStreet,1,11222,Stockholm,Agnesgatan,1,60222,Norrkoping,False
Wynona,Hoefle,Nyhem,86,70198,Orebro,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,25222,Orebro,True
Elza,Prophet,Lotsgatan,116,55146,Jonkoping,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,55222,Jonkoping,True
Myong,Lofthouse,Bondegatan,188,80136,Gavle,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,80222,Gavle,True
Slyvia,Lashley,Ankargatan,48,11157,Stockholm,True,SortingStreet,1,11222,Stockholm,Almstigen,48,11157,Stockholm,False
Linsey,Jacoby,Pilgatan,163,41133,Goteborg,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,41222,Goteborg,True
Laronda,Wenner,Larmtorget,191,50146,Boras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,50222,Boras,True
Corrinne,Bucker,Adjunktsgatan,129,50164,Boras,True,SortingStreet,1,11222,Stockholm,SortingStreet,1,50222,Boras,True
Cordia,Bunge,Almstigen,194,50165,Boras,True,SortingStreet,1,11222,Stockholm,SortingStreet,214,50222,Boras,False
