Name,SurName,Street,StreetNr,ZipCode,City,Legitimate,StartStreet,StartStreetNr,StartZipCode,StartCity,EndStreet,EndStreetNr,EndZipCode,EndCity,CorrectDelivery
93.0,8.0,3,170,70165,4.0,1,24,1,11222,7,24,1,70222,4.0,1
69.0,68.0,4,66,25133,17.0,1,24,1,11222,7,24,1,25222,17.0,1
95.0,95.0,2,115,50157,14.0,1,24,1,11222,7,24,1,60222,14.0,1
7.0,7.0,38,147,75113,0.0,1,24,1,11222,7,24,1,25222,0.0,1
50.0,49.0,22,147,90125,15.0,1,24,1,11222,7,24,1,90222,15.0,1
98.0,98.0,4,49,35133,18.0,1,24,1,11222,7,24,1,35222,18.0,1
15.0,15.0,19,159,11146,7.0,1,24,1,11222,7,19,159,22222,7.0,1
49.0,56.0,36,63,25134,-1.0,1,24,1,11222,7,32,1,25222,-1.0,0
27.0,27.0,17,153,35175,18.0,1,24,1,11222,7,24,1,58222,18.0,1
89.0,76.0,4,128,39133,8.0,1,24,1,11222,7,24,1,39222,8.0,1
-1.0,1.0,32,35,72175,12.0,1,24,1,11222,7,24,1,72222,12.0,1
43.0,45.0,38,19,97113,19.0,1,24,1,11222,7,24,1,97222,19.0,1
33.0,33.0,0,11,39147,8.0,1,24,1,11222,7,24,1,90222,8.0,1
46.0,47.0,11,191,50146,14.0,1,24,1,11222,7,24,1,50222,14.0,1
54.0,52.0,40,52,55137,-1.0,1,24,1,11222,7,24,1,55222,-1.0,1
75.0,77.0,33,167,30146,5.0,1,24,1,11222,7,24,197,30222,5.0,0
55.0,-1.0,25,117,72123,12.0,1,24,1,11222,7,24,51,72222,12.0,0
24.0,-1.0,31,114,41135,13.0,1,24,1,11222,7,24,1,41222,13.0,1
61.0,61.0,34,143,39164,8.0,1,24,1,11222,7,24,1,39222,8.0,1
-1.0,37.0,7,29,63168,6.0,1,24,1,11222,7,24,1,97222,6.0,1
91.0,92.0,43,18,72146,12.0,1,24,1,11222,7,24,1,72222,12.0,1
25.0,25.0,29,50,72165,12.0,1,24,1,11222,7,24,1,72222,12.0,1
-1.0,32.0,39,123,11125,7.0,1,24,1,11222,7,39,123,11125,7.0,1
31.0,31.0,22,12,97125,19.0,1,24,1,11222,7,24,1,97222,19.0,1
31.0,31.0,34,101,85164,2.0,1,24,1,11222,7,24,1,85222,2.0,1
65.0,64.0,17,9,58175,3.0,1,24,1,11222,7,24,1,97222,3.0,1
2.0,2.0,14,78,11126,7.0,1,24,1,11222,7,14,78,11126,7.0,1
32.0,32.0,10,118,21168,9.0,1,24,1,11222,7,24,1,21222,9.0,1
-1.0,30.0,16,159,85114,2.0,1,24,1,11222,7,27,1,85222,2.0,0
92.0,93.0,34,15,55164,16.0,1,24,1,11222,7,24,1,55222,16.0,1
29.0,29.0,16,155,50114,14.0,1,24,1,11222,7,24,1,50222,14.0,1
63.0,63.0,1,183,41146,13.0,1,24,1,11222,7,24,1,41222,13.0,1
72.0,74.0,6,144,50124,-1.0,1,24,1,11222,7,24,1,50222,-1.0,1
-1.0,98.0,10,161,60168,20.0,1,24,1,11222,7,24,1,60222,20.0,1
-1.0,-1.0,11,87,80146,10.0,1,24,1,11222,7,24,1,72222,10.0,1
35.0,35.0,20,189,60176,20.0,1,24,1,11222,7,24,1,60222,20.0,1
57.0,57.0,19,67,63146,6.0,1,24,1,11222,7,24,1,63222,6.0,1
14.0,14.0,22,93,85125,2.0,1,24,1,11222,7,24,1,85222,2.0,1
44.0,38.0,37,101,58165,-1.0,1,24,1,11222,7,24,1,58222,-1.0,1
65.0,64.0,31,67,21135,9.0,1,24,1,11222,7,24,1,21222,9.0,1
80.0,-1.0,34,70,30164,-1.0,1,24,1,11222,7,24,1,30222,-1.0,1
34.0,34.0,36,175,70134,4.0,1,24,1,11222,7,24,1,70222,4.0,1
-1.0,96.0,30,7,65136,11.0,1,24,1,11222,7,24,1,65222,11.0,1
-1.0,72.0,44,195,65178,11.0,1,24,1,11222,7,43,1,65222,11.0,0
51.0,99.0,45,158,85177,2.0,1,24,1,11222,7,24,1,85222,2.0,1
36.0,36.0,44,198,22178,1.0,1,24,1,11222,7,24,1,22222,1.0,1
27.0,27.0,13,114,80148,10.0,1,24,1,11222,7,24,1,80222,10.0,1
-1.0,59.0,20,189,90176,15.0,1,24,1,11222,7,24,1,90222,15.0,1
2.0,-1.0,5,161,39129,8.0,1,24,1,11222,7,24,1,39222,8.0,1
71.0,-1.0,37,1,97165,19.0,1,24,1,11222,7,24,1,97222,19.0,1
63.0,63.0,31,154,41135,-1.0,1,24,1,11222,7,24,1,22222,-1.0,1
74.0,87.0,10,179,39168,8.0,1,24,1,11222,7,24,1,39222,8.0,1
95.0,95.0,38,104,21113,9.0,1,24,1,11222,7,24,1,21222,9.0,1
51.0,99.0,3,82,30165,5.0,1,24,1,11222,7,43,1,30222,5.0,0
45.0,46.0,14,40,80126,10.0,1,24,1,11222,7,24,256,80222,10.0,0
24.0,24.0,27,151,50167,14.0,1,24,1,11222,7,24,1,50222,14.0,1
53.0,51.0,30,60,30136,5.0,1,24,1,11222,7,24,1,30222,5.0,1
59.0,59.0,4,107,60133,20.0,1,24,1,11222,7,37,1,60222,20.0,0
44.0,38.0,15,86,70198,4.0,1,24,1,11222,7,24,1,25222,4.0,1
