Name,SurName,Street,StreetNr,ZipCode,City,Legitimate
Cornelia,Quiles,Bergsbogatan,152,25136,Helsingborg,True
Lon,Madruga,Pilgatan,137,65133,Karlstad,True
Hank,Gess,Ankargatan,188,55157,Jonkoping,True
Florentina,Brassard,Akutgatan,124,97175,Lulea,True
Wilbert,Chavous,Agnesgatan,32,,Halmstad,False
,Mcguffie,Boberg,150,70135,Orebro,True
Lula,Groom,Almstigen,70,50165,Boras,True
Velva,Tarbox,Dagsberg,1,60124,Norrkoping,True
Buddy,Rowser,Boberg,183,30135,Halmstad,True
Linsey,Jacoby,,1,25146,Helsingborg,False
Caron,Neal,Nyhem,186,97198,Lulea,True
Velva,Tarbox,Aktergatan,98,2112,Malmo,False
Myong,Lofthouse,Mesta,58,72146,Vasteras,True
Cordia,Bunge,Berg,181,85177,Sundsvall,True
Savanna,Mcmullin,Berget,114,63126,,True
Eduardo,Venters,Almstigen,141,63165,Eskilstuna,True
Jeanmarie,Westover,Agnesgatan,164,90165,Umea,True
Lauralee,Selle,,40,90147,Umea,False
Brigid,,Pallasgatan,102,30137,Halmstad,True
Patricia,Blackwelder,Hasselgatan,14,75113,Uppsala,True
