Name,SurName,Street,StreetNr,ZipCode,City,Legitimate
Marinda,Corliss,Albrogatan,58,58123,Linkoping,True
Jeanie,Lansford,Odlarstigen,180,72178,Vasteras,True
Victorina,Cataldo,Pallasgatan,187,58137,Linkoping,True
Aurore,Wanner,Betesbacken,96,11176,Stockholm,True
Alessandra,Piedra,Betesbacken,138,35176,Vaxjo,True
Ardelle,Geisler,Floragatan,129,65146,Karlstad,True
Velva,Tarbox,Adlerberthsgatan,95,72123,Vasteras,True
Lieselotte,Halberg,Albrogatan,40,30123,Halmstad,True
,Blackwelder,Alegatan,65,80125,Gavle,True
Anneliese,Laber,,141,65198,Karlstad,False
Laronda,Wenner,Mesta,98,11146,Stockholm,True
Savanna,Mcmullin,Agnesgatan,104,2216,Lund,False
Alexa,Grego,Abborregatan,51,21147,Malmo,True
Eduardo,Venters,Odensbergsgatan,158,58178,,True
Hank,Gess,Odensbergsgatan,101,30178,Halmstad,True
Ardelle,,,46,80175,Gavle,False
Errol,Kingston,Boberg,151,70135,Orebro,True
Errol,Kingston,Mesta,54,,Linkoping,False
Caroll,Holte,Nyhem,139,70198,Orebro,True
Jeanie,Lansford,Boberg,191,90135,Umea,True
